t,air,ln_air,d_ln_air
1949-01-01,112,4.7184987,
1949-02-01,118,4.7706847,0.052186012
1949-03-01,132,4.882802,0.11211729
1949-04-01,129,4.8598123,-0.02298975
1949-05-01,121,4.7957907,-0.06402159
1949-06-01,135,4.905275,0.109484196
1949-07-01,148,4.9972124,0.09193754
1949-08-01,148,4.9972124,0.0
1949-09-01,136,4.912655,-0.08455753
1949-10-01,119,4.7791233,-0.13353157
1949-11-01,104,4.644391,-0.13473225
1949-12-01,118,4.7706847,0.12629366
1950-01-01,115,4.744932,-0.025752544
1950-02-01,126,4.836282,0.0913496
1950-03-01,141,4.94876,0.112478256
1950-04-01,135,4.905275,-0.043485165
1950-05-01,125,4.828314,-0.07696104
1950-06-01,149,5.0039463,0.17563248
1950-07-01,170,5.1357985,0.13185215
1950-08-01,170,5.1357985,0.0
1950-09-01,158,5.062595,-0.07320356
1950-10-01,133,4.890349,-0.17224598
1950-11-01,114,4.7361984,-0.15415049
1950-12-01,140,4.9416423,0.20544386
1951-01-01,145,4.9767337,0.0350914
1951-02-01,150,5.0106354,0.03390169
1951-03-01,178,5.1817837,0.1711483
1951-04-01,163,5.09375,-0.088033676
1951-05-01,172,5.1474943,0.053744316
1951-06-01,178,5.1817837,0.03428936
1951-07-01,199,5.293305,0.111521244
1951-08-01,199,5.293305,0.0
1951-09-01,184,5.214936,-0.07836914
1951-10-01,162,5.0875964,-0.12733936
1951-11-01,146,4.983607,-0.1039896
1951-12-01,166,5.1119876,0.12838078
1952-01-01,171,5.1416636,0.02967596
1952-02-01,180,5.192957,0.051293373
1952-03-01,193,5.26269,0.06973314
1952-04-01,181,5.198497,-0.06419325
1952-05-01,183,5.209486,0.010989189
1952-06-01,218,5.3844953,0.17500925
1952-07-01,230,5.4380794,0.0535841
1952-08-01,242,5.488938,0.050858498
1952-09-01,209,5.3423343,-0.14660358
1952-10-01,191,5.2522736,-0.09006071
1952-11-01,172,5.1474943,-0.10477924
1952-12-01,194,5.267858,0.12036371
1953-01-01,196,5.278115,0.010256767
1953-02-01,196,5.278115,0.0
1953-03-01,236,5.463832,0.1857171
1953-04-01,235,5.4595857,-0.004246235
1953-05-01,229,5.433722,-0.025863647
1953-06-01,243,5.4930615,0.059339523
1953-07-01,264,5.575949,0.08288765
1953-08-01,272,5.605802,0.029852867
1953-09-01,237,5.46806,-0.13774204
1953-10-01,211,5.351858,-0.11620188
1953-11-01,180,5.192957,-0.15890121
1953-12-01,201,5.3033047,0.11034775
1954-01-01,204,5.31812,0.0148153305
1954-02-01,188,5.236442,-0.08167791
1954-03-01,235,5.4595857,0.22314358
1954-04-01,227,5.42495,-0.034635544
1954-05-01,234,5.4553213,0.03037119
1954-06-01,264,5.575949,0.12062788
1954-07-01,302,5.7104273,0.13447809
1954-08-01,293,5.6801724,-0.03025484
1954-09-01,259,5.556828,-0.12334442
1954-10-01,229,5.433722,-0.123106
1954-11-01,203,5.313206,-0.12051582
1954-12-01,229,5.433722,0.12051582
1955-01-01,242,5.488938,0.055215836
1955-02-01,233,5.4510384,-0.037899494
1955-03-01,267,5.587249,0.13621044
1955-04-01,269,5.5947113,0.0074625015
1955-05-01,270,5.598422,0.0037107468
1955-06-01,315,5.7525725,0.15415049
1955-07-01,364,5.897154,0.14458132
1955-08-01,347,5.8493247,-0.04782915
1955-09-01,312,5.7430034,-0.106321335
1955-10-01,274,5.613128,-0.12987518
1955-11-01,237,5.46806,-0.14506817
1955-12-01,278,5.627621,0.15956116
1956-01-01,284,5.6489744,0.021353245
1956-02-01,277,5.6240177,-0.024956703
1956-03-01,317,5.7589016,0.13488388
1956-04-01,313,5.7462034,-0.0126981735
1956-05-01,318,5.7620516,0.01584816
1956-06-01,374,5.924256,0.16220427
1956-07-01,413,6.0234475,0.099191666
1956-08-01,405,6.003887,-0.019560337
1956-09-01,355,5.872118,-0.13176918
1956-10-01,306,5.723585,-0.14853287
1956-11-01,271,5.602119,-0.12146616
1956-12-01,306,5.723585,0.12146616
1957-01-01,315,5.7525725,0.028987408
1957-02-01,301,5.7071104,-0.04546213
1957-03-01,356,5.874931,0.16782045
1957-04-01,348,5.8522024,-0.022728443
1957-05-01,355,5.872118,0.01991558
1957-06-01,422,6.0450053,0.17288733
1957-07-01,465,6.1420374,0.09703207
1957-08-01,467,6.1463294,0.0042920113
1957-09-01,404,6.001415,-0.14491463
1957-10-01,347,5.8493247,-0.15209007
1957-11-01,305,5.7203116,-0.12901306
1957-12-01,336,5.817111,0.09679937
1958-01-01,340,5.8289456,0.011834621
1958-02-01,318,5.7620516,-0.066894054
1958-03-01,362,5.8916445,0.1295929
1958-04-01,348,5.8522024,-0.039442062
1958-05-01,363,5.894403,0.042200565
1958-06-01,435,6.075346,0.18094301
1958-07-01,491,6.196444,0.12109804
1958-08-01,505,6.2245584,0.028114319
1958-09-01,404,6.001415,-0.22314358
1958-10-01,359,5.8833222,-0.11809254
1958-11-01,310,5.7365723,-0.14674997
1958-12-01,337,5.820083,0.083510876
1959-01-01,360,5.886104,0.066020966
1959-02-01,342,5.8348107,-0.051293373
1959-03-01,406,6.0063534,0.17154264
1959-04-01,396,5.9814143,-0.02493906
1959-05-01,420,6.0402546,0.058840275
1959-06-01,472,6.156979,0.11672449
1959-07-01,548,6.3062754,0.14929628
1959-08-01,559,6.3261495,0.019874096
1959-09-01,463,6.1377273,-0.1884222
1959-10-01,407,6.0088134,-0.12891388
1959-11-01,362,5.8916445,-0.1171689
1959-12-01,405,6.003887,0.1122427
1960-01-01,417,6.0330863,0.029199123
1960-02-01,391,5.9687076,-0.06437874
1960-03-01,419,6.037871,0.06916332
1960-04-01,461,6.133398,0.09552717
1960-05-01,472,6.156979,0.023581028
1960-06-01,535,6.2822666,0.12528753
1960-07-01,622,6.43294,0.15067339
1960-08-01,606,6.40688,-0.026060104
1960-09-01,508,6.2304816,-0.17639828
1960-10-01,461,6.133398,-0.09708357
1960-11-01,390,5.966147,-0.16725111
1960-12-01,432,6.0684257,0.10227871
