t,consump,pc92,m1,m2
1946-01-01,134.9,,,
1946-04-01,140.1,,,
1946-07-01,148.9,,,
1946-10-01,153.2,,,
1947-01-01,156.6,912.1,,
1947-04-01,160.5,928.5,,
1947-07-01,164.1,931.9,,
1947-10-01,168.2,932.1,,
1948-01-01,170.9,936.2,,
1948-04-01,174.7,946.2,,
1948-07-01,177.6,947.8,,
1948-10-01,178.5,955.4,,
1949-01-01,177.4,957.0,,
1949-04-01,179.0,971.5,,
1949-07-01,178.3,973.3,,
1949-10-01,180.8,986.8,,
1950-01-01,183.6,1003.6,,
1950-04-01,187.5,1019.9,,
1950-07-01,201.2,1072.2,,
1950-10-01,198.6,1040.7,,
1951-01-01,209.7,1063.7,,
1951-04-01,205.3,1034.4,,
1951-07-01,207.9,1046.0,,
1951-10-01,211.9,1052.4,,
1952-01-01,213.3,1055.5,,
1952-04-01,217.4,1075.8,,
1952-07-01,219.9,1081.0,,
1952-10-01,228.0,1117.3,,
1953-01-01,231.6,1131.1,,
1953-04-01,233.5,1139.1,,
1953-07-01,234.5,1137.7,,
1953-10-01,234.2,1132.1,,
1954-01-01,236.4,1135.9,,
1954-04-01,239.1,1148.2,,
1954-07-01,241.4,1164.0,,
1954-10-01,246.0,1187.5,,
1955-01-01,252.2,1212.6,,
1955-04-01,257.2,1236.7,,
1955-07-01,261.5,1252.3,,
1955-10-01,265.6,1268.6,,
1956-01-01,267.2,1270.6,,
1956-04-01,269.7,1273.9,,
1956-07-01,272.8,1275.9,,
1956-10-01,278.0,1292.3,,
1957-01-01,282.3,1301.0,,
1957-04-01,284.5,1303.1,,
1957-07-01,289.1,1313.7,,
1957-10-01,290.9,1315.0,,
1958-01-01,290.5,1296.7,,
1958-04-01,293.5,1307.1,,
1958-07-01,298.6,1327.7,,
1958-10-01,302.5,1343.9,,
1959-01-01,310.4,1369.9,139.74,289.15
1959-04-01,316.4,1391.7,141.17,294.05
1959-07-01,321.7,1407.2,141.01,296.73
1959-10-01,323.8,1409.5,139.95,297.8
1960-01-01,327.3,1422.5,139.75,299.35
1960-04-01,333.2,1439.6,139.58,302.33
1960-07-01,333.1,1433.5,141.18,308.45
1960-10-01,335.0,1434.8,140.69,312.37
1961-01-01,335.7,1434.2,141.87,318.29
1961-04-01,340.6,1455.7,142.88,324.29
1961-07-01,343.5,1463.5,143.78,329.54
1961-10-01,350.7,1492.8,145.2,335.5
1962-01-01,355.3,1508.4,145.96,343.1
1962-04-01,361.3,1526.7,146.58,349.25
1962-07-01,365.4,1539.6,146.3,354.87
1962-10-01,371.7,1560.6,147.82,362.72
1963-01-01,375.1,1571.2,149.17,370.66
1963-04-01,379.4,1586.3,150.43,378.42
1963-07-01,386.4,1607.6,151.98,386.02
1963-10-01,391.1,1621.1,153.29,393.24
1964-01-01,400.5,1653.6,154.48,399.76
1964-04-01,408.3,1683.1,155.62,407.08
1964-07-01,417.1,1713.9,158.75,416.88
1964-10-01,419.8,1718.6,160.3,424.74
1965-01-01,430.6,1756.2,161.47,433.22
1965-04-01,437.8,1776.1,162.19,440.1
1965-07-01,447.2,1806.1,164.85,449.49
1965-10-01,461.5,1858.0,167.85,459.17
1966-01-01,472.0,1885.6,170.51,467.22
1966-04-01,477.1,1890.9,171.57,471.15
1966-07-01,486.4,1912.4,171.97,475.43
1966-10-01,492.0,1919.1,172.03,480.16
1967-01-01,496.8,1931.2,174.81,489.67
1967-04-01,506.2,1957.5,177.02,502.0
1967-07-01,513.7,1967.1,180.68,514.66
1967-10-01,521.2,1978.5,183.26,524.77
1968-01-01,539.5,2025.1,185.47,533.17
1968-04-01,553.2,2056.4,189.42,542.61
1968-07-01,569.1,2095.1,192.74,553.56
1968-10-01,577.5,2104.4,197.41,566.85
1969-01-01,588.8,2128.0,200.02,574.36
1969-04-01,599.4,2141.4,201.27,578.47
1969-07-01,609.2,2152.0,202.1,582.06
1969-10-01,621.1,2168.8,203.88,587.9
1970-01-01,632.4,2182.3,205.75,587.26
1970-04-01,642.7,2192.9,207.54,595.16
1970-07-01,655.2,2211.6,211.8,611.2
1970-10-01,662.1,2204.6,214.41,626.55
1971-01-01,681.6,2246.5,218.77,649.9
1971-04-01,695.8,2266.5,223.45,672.96
1971-07-01,708.2,2283.9,226.47,692.47
1971-10-01,724.5,2321.1,228.32,710.26
1972-01-01,741.9,2352.0,234.3,733.5
1972-04-01,759.9,2394.9,236.62,749.67
1972-07-01,778.1,2430.6,243.18,778.36
1972-10-01,802.9,2486.1,249.25,802.28
1973-01-01,827.2,2530.4,251.67,815.31
1973-04-01,842.1,2527.5,256.69,833.23
1973-07-01,860.8,2539.9,257.86,839.27
1973-10-01,876.1,2532.6,262.88,855.52
1974-01-01,894.4,2512.7,266.68,870.12
1974-04-01,922.4,2522.7,268.44,877.82
1974-07-01,950.1,2532.4,271.05,888.16
1974-10-01,957.8,2490.9,274.2,902.42
1975-01-01,982.7,2513.2,276.59,925.56
1975-04-01,1012.4,2556.3,282.38,963.31
1975-07-01,1046.3,2591.8,285.52,991.72
1975-10-01,1075.1,2618.7,287.42,1016.99
1976-01-01,1110.2,2674.2,292.26,1050.03
1976-04-01,1130.2,2697.9,295.77,1077.71
1976-07-01,1159.8,2724.4,299.57,1111.31
1976-10-01,1195.0,2760.8,306.39,1152.78
1977-01-01,1230.7,2794.3,313.56,1188.8
1977-04-01,1259.1,2810.3,317.96,1217.67
1977-07-01,1290.3,2836.9,324.37,1246.9
1977-10-01,1328.1,2877.6,331.26,1271.47
1978-01-01,1358.3,2893.1,336.78,1292.87
1978-04-01,1417.4,2954.6,345.58,1318.1
1978-07-01,1450.6,2968.2,353.11,1346.81
1978-10-01,1488.7,2990.6,358.39,1368.01
1979-01-01,1529.3,3008.1,362.57,1388.97
1979-04-01,1563.9,3003.5,372.56,1423.22
1979-07-01,1617.4,3028.7,380.93,1456.86
1979-10-01,1663.5,3040.2,382.9,1475.75
1980-01-01,1713.1,3037.2,389.08,1501.82
1980-04-01,1716.9,2968.8,388.2,1529.52
1980-07-01,1774.9,2998.5,405.64,1576.03
1980-10-01,1836.8,3034.2,408.92,1601.1
1981-01-01,1890.3,3045.6,418.92,1638.0
1981-04-01,1923.5,3045.8,423.9,1670.55
1981-07-01,1967.4,3058.8,427.91,1708.38
1981-10-01,1983.9,3035.3,436.79,1756.19
1982-01-01,2021.4,3054.0,442.18,1787.65
1982-04-01,2046.1,3062.1,446.72,1826.88
1982-07-01,2091.1,3080.1,457.43,1865.48
1982-10-01,2148.7,3129.7,474.67,1910.85
1983-01-01,2185.0,3156.5,489.69,2019.75
1983-04-01,2257.2,3220.0,503.08,2057.78
1983-07-01,2316.8,3267.1,512.83,2088.09
1983-10-01,2374.7,3318.6,521.22,2127.73
1984-01-01,2422.5,3354.0,530.85,2179.81
1984-04-01,2475.6,3397.5,540.2,2220.44
1984-07-01,2510.5,3418.4,544.31,2250.72
1984-10-01,2560.6,3460.6,552.26,2312.26
1985-01-01,2623.8,3511.2,566.61,2371.59
1985-04-01,2673.4,3540.8,583.26,2419.43
1985-07-01,2742.3,3602.1,604.06,2462.85
1985-10-01,2779.6,3612.1,619.88,2497.69
1986-01-01,2823.3,3644.0,633.69,2538.71
1986-04-01,2855.6,3683.0,660.97,2611.17
1986-07-01,2926.2,3742.8,687.34,2674.12
1986-10-01,2965.6,3764.8,724.38,2734.01
1987-01-01,3002.4,3765.7,733.4,2759.35
1987-04-01,3070.0,3814.0,742.67,2780.15
1987-07-01,3134.2,3852.9,747.69,2805.8
1987-10-01,3171.3,3856.5,749.69,2832.73
1988-01-01,3247.1,3924.2,761.43,2897.45
1988-04-01,3310.2,3952.2,778.49,2945.25
1988-07-01,3382.3,3985.1,783.52,2964.53
1988-10-01,3459.2,4029.1,787.01,2996.36
1989-01-01,3506.1,4032.8,782.91,3007.13
1989-04-01,3569.7,4047.4,773.31,3035.01
1989-07-01,3627.3,4083.2,781.66,3100.8
1989-10-01,3676.1,4095.0,794.2,3160.96
1990-01-01,3759.2,4128.9,801.73,3196.84
1990-04-01,3811.8,4134.7,810.2,3221.27
1990-07-01,3879.2,4148.5,821.63,3262.44
1990-10-01,3907.0,4116.4,825.84,3279.57
1991-01-01,3910.7,4084.5,839.82,3329.47
1991-04-01,3961.0,4110.0,858.57,3359.41
1991-07-01,4001.6,4119.5,870.64,3360.25
1991-10-01,4027.1,4109.1,897.26,3379.93
1992-01-01,4127.6,4173.8,936.84,3410.57
1992-04-01,4183.0,4196.4,954.1,3401.64
1992-07-01,4238.9,4226.7,988.2,3418.69
1992-10-01,4329.6,4282.3,1025.01,3434.67
1993-01-01,4365.4,4286.8,1038.38,3420.57
1993-04-01,4428.1,4322.8,1075.31,3453.41
1993-07-01,4488.6,4366.6,1104.26,3464.33
1993-10-01,4554.9,4398.0,1129.87,3487.51
1994-01-01,4616.6,4439.4,1139.9,3494.09
1994-04-01,4680.5,4472.2,1144.68,3494.59
1994-07-01,4750.6,4498.2,1150.76,3499.23
1994-10-01,4820.2,4534.1,1150.72,3503.0
1995-01-01,4862.5,4555.3,1146.62,3506.33
1995-04-01,4931.5,4593.6,1142.64,3564.59
1995-07-01,4986.4,4623.4,1141.43,3618.15
1995-10-01,5035.3,4650.0,1128.68,3651.24
1996-01-01,5108.2,4692.1,1125.26,3709.95
1996-04-01,5199.0,4746.6,1116.06,3743.36
1996-07-01,5242.5,4768.3,1094.76,3774.59
1996-10-01,5313.2,4802.6,1082.85,3826.08
1997-01-01,5402.4,4853.4,1074.96,3869.66
1997-04-01,5438.8,4872.7,1065.39,3910.52
1997-07-01,5540.3,4947.0,1063.55,3979.27
1997-10-01,5593.2,4981.0,1076.04,4046.39
1998-01-01,5676.5,5055.1,1081.11,4133.88
1998-04-01,5773.7,5130.2,1074.52,4196.1
1998-07-01,5843.0,5179.3,1072.14,4295.56
